intertidal_sitename,date_collected,Sampler,Voucher Name,Voucher location (Regional Folder),Genus species,New Catalog Number,Page #,Binder; Voucher Letter,Status (only notes if too small in size& if variety of morphologies& if not entire specimen& if decayed),Transect,Habitat Description; Zone,scanned_notes
Little Ohiat BC,8/10/2003,Haven Livingston,Prionitis sp?,BRITISH COLUMBIA & ALASKA,Prionitis lanceolata,A001,1,A,NULL,15,high zone pool with anthopleura and cladophora,y
Little Ohiat BC,8/10/2003,Haven Livingston,Odonthalia floccossa,BRITISH COLUMBIA & ALASKA,Odonthalia floccossa,A002,1,A,NULL,NULL,low zone,y
Little Ohiat BC,8/10/2003,Haven Livingston,Analipus japonicus,BRITISH COLUMBIA & ALASKA,Analipus japonicus,A003,1,A,NULL,NULL,NULL,y
Little Ohiat BC,8/10/2003,Alison Kendall,Pterosiphonia bipinnata,BRITISH COLUMBIA & ALASKA,Pterosiphonia bipinnata,A004,1,A,NULL,NULL,mid zone& near Mytilus& balanus& and anthopleura elegantissima,y
Little Ohiat BC,8/10/2003,Alison Kendall,Callophyllis flabellulata,BRITISH COLUMBIA & ALASKA,Callophyllis flabellulata,A005,2,A,NULL,NULL,NULL,y
Little Ohiat BC,8/10/2003,Alison Kendall,Ceramium spp,BRITISH COLUMBIA & ALASKA,Ceramium spp,A006,2,A,NULL,NULL,mid-low zone& epiphytic and epilithic on corallines& semibalanus,y
Little Ohiat BC,8/10/2003,Alison Kendall& Haven Livingston,Gymnogongrus leptophyllus,BRITISH COLUMBIA & ALASKA,Ahnfeltiopsis leptophylla,A007,2,A,NULL,NULL,NULL,y
Little Ohiat BC,8/10/2003,Kristen Kusic,Halymenia; Schizymenia spp,BRITISH COLUMBIA & ALASKA,Halymenia; Schizymenia spp,A008,3,A,NULL,9& 12,NULL,y
Little Ohiat BC,8/10/2003,Kristen Kusic,Chondracanthus exasperata?,BRITISH COLUMBIA & ALASKA,Gigartina volans,A009,3,A,NULL,NULL,NULL,y
Little Ohiat BC,8/10/2003,Kristen Kusic,Pterosiphonia bipinnata,BRITISH COLUMBIA & ALASKA,Pterosiphonia bipinnata,A010,3,A,NULL,NULL,NULL,y
Little Ohiat BC,8/10/2003,Megan Williams,Cladophora columbiana,BRITISH COLUMBIA & ALASKA,Cladophora columbiana,A011,4,A,NULL,27& 30,NULL,Y
Little Ohiat BC,8/10/2003,Megan Williams,Acrosiphonia spp,BRITISH COLUMBIA & ALASKA,Acrosiphonia spp,A012,4,A,NULL,27& 30,NULL,Y
Little Ohiat BC,8/10/2003,Megan Williams,Ceramium spp,BRITISH COLUMBIA & ALASKA,Ceramium spp,A013,4,A,NULL,27& 30,NULL,Y
Little Ohiat BC,8/10/2003,Megan Williams,Rhodymenia californica,BRITISH COLUMBIA & ALASKA,Rhodymenia californica,A014,4,A,NULL,27& 30,NULL,Y
Little Ohiat BC,8/10/2003,Megan Williams,Mastocarpus papillatus,BRITISH COLUMBIA & ALASKA,Mastocarpus papillatus,A015,4,A,NULL,27& 30,NULL,Y
Little Ohiat BC,8/10/2003,Megan Williams,Pterosiphonia bipinnata,BRITISH COLUMBIA & ALASKA,Pterosiphonia bipinnata,A016,4,A,NULL, 27& 30,NULL,y
Little Ohiat BC,8/10/2003,Megan Williams,Chondracanthus corymbiferus,BRITISH COLUMBIA & ALASKA,Chondracanthus corymbiferus,A017,4,A,NULL,NULL,NULL,y
Palmerston BC,8/14/2003,Kristen Kusic,Chondracanthus exasperatus,BRITISH COLUMBIA & ALASKA,Chondracanthus exasperata,A018,5,A,NULL,0&3&6,low zone near hedophyllum,y
Palmerston BC,8/14/2003,Alison Kendall,Mazzaella heterocarpa,BRITISH COLUMBIA & ALASKA,Mazzaella heterocarpa,A019,6,A,NULL,NULL,low zone& epilithic near mazzaella splendens& Alaria marginata,Y
Palmerston BC,8/14/2003,Alison Kendall,weird ceramium?,BRITISH COLUMBIA & ALASKA,Ceramium washingtoniense,A020,7,A,only described in Kylin p.62,NULL,mid-low pools near prionitis lanceolata& porphyra& ulva,Y
Palmerston BC,8/14/2003,Alison Kendall,Gelidium purpurascens,BRITISH COLUMBIA & ALASKA,Gelidium purpurascens,A021,7,A,NULL,NULL,high-mid zone pool& epilithic near Prionitis lanceolata& corallina,Y
Palmerston BC,8/14/2003,Alison Kendall,Callophyllis firma,BRITISH COLUMBIA & ALASKA,Callophyllis firma,A022,7,A,NULL,NULL,low zone& epilithic near phyllospadix& corallina& ritterella,Y
Palmerston BC,8/14/2003,Alison Kendall,Callophyllis flabellulata,BRITISH COLUMBIA & ALASKA,Callophyllis flabellulata,A023,7,A,NULL,NULL,low zone& epilithic under phyllospadix& mazzaella oregonum,Y
